FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,ArrvStn,机组成员1,,,机组成员2,,
,,,,,,,是否机长,是否副机长,是否替补,是否机长,是否副机长,是否替补
,任务环1,,,,,,,,,,,
FB8559,8/1/2019,6:10,TGD,8/1/2019,9:00,HUK,1,0,0,0,1,0
FB8559,8/1/2019,11:45,HUK,8/1/2019,14:15,HOM,1,0,0,0,1,0
FB8559,8/2/2019,0:05,HOM,8/2/2019,2:05,SXA,1,0,0,0,1,0
FB8559,8/2/2019,3:35,SXA,8/2/2019,5:55,TGD,1,0,0,0,1,0
FB8559,8/2/2019,6:10,TGD,8/2/2019,9:00,HUK,1,0,0,0,1,0
FB8559,8/2/2019,11:45,HUK,8/2/2019,14:15,HOM,1,0,0,0,1,0
FB8559,8/3/2019,0:05,HOM,8/3/2019,2:05,SXA,1,0,0,0,1,0
FB8559,8/3/2019,3:35,SXA,8/3/2019,5:55,TGD,1,0,0,0,1,0
FB8559,8/3/2019,6:10,TGD,8/3/2019,9:00,HUK,1,0,0,0,1,0
FB8559,8/3/2019,11:45,HUK,8/3/2019,14:15,HOM,1,0,0,0,1,0
FB8559,8/6/2019,0:05,HOM,8/6/2019,2:05,SXA,1,0,0,0,1,0
FB8559,8/6/2019,3:35,SXA,8/6/2019,5:55,TGD,1,0,0,0,1,0
FB8559,8/6/2019,6:10,TGD,8/6/2019,9:00,HUK,1,0,0,0,1,0
FB8559,8/6/2019,11:45,HUK,8/6/2019,14:15,HOM,1,0,0,0,1,0
FB8559,8/7/2019,0:05,HOM,8/7/2019,2:05,SXA,1,0,0,0,1,0
FB8559,8/7/2019,3:35,SXA,8/7/2019,5:55,TGD,1,0,0,0,1,0
FB8559,8/7/2019,6:10,TGD,8/7/2019,9:00,HUK,1,0,0,0,1,0
FB8559,8/7/2019,11:45,HUK,8/7/2019,14:15,HOM,1,0,0,0,1,0
FB8559,8/8/2019,0:05,HOM,8/8/2019,2:05,SXA,1,0,0,0,1,0
FB8559,8/8/2019,3:35,SXA,8/8/2019,5:55,TGD,1,0,0,0,1,0
FB8559,8/8/2019,6:10,TGD,8/8/2019,9:00,HUK,1,0,0,0,1,0
FB8559,8/8/2019,11:45,HUK,8/8/2019,14:15,HOM,1,0,0,0,1,0
FB1000,8/9/2019,0:05,HOM,8/9/2019,2:05,SXA,1,0,0,0,1,0
FB1000,8/9/2019,3:35,SXA,8/9/2019,5:55,TGD,1,0,0,0,1,0
FB1000,8/9/2019,6:10,TGD,8/9/2019,9:00,HUK,1,0,0,0,1,0
FB1000,8/9/2019,11:45,HUK,8/9/2019,14:15,HOM,1,0,0,0,1,0
FB1000,8/10/2019,0:05,HOM,8/10/2019,2:05,SXA,1,0,0,0,1,0
FB1000,8/10/2019,3:35,SXA,8/10/2019,5:55,TGD,1,0,0,0,1,0
FB1000,8/10/2019,6:10,TGD,8/10/2019,9:00,HUK,1,0,0,0,1,0
FB1000,8/10/2019,11:45,HUK,8/10/2019,14:15,HOM,1,0,0,0,1,0
FB1000,8/13/2019,0:05,HOM,8/13/2019,2:05,SXA,1,0,0,0,1,0
FB1000,8/13/2019,3:35,SXA,8/13/2019,5:55,TGD,1,0,0,0,1,0
FB1000,8/13/2019,6:10,TGD,8/13/2019,9:00,HUK,1,0,0,0,1,0
FB1000,8/13/2019,11:45,HUK,8/13/2019,14:15,HOM,1,0,0,0,1,0
FB1000,8/14/2019,0:05,HOM,8/14/2019,2:05,SXA,1,0,0,0,1,0
FB1000,8/14/2019,3:35,SXA,8/14/2019,5:55,TGD,1,0,0,0,1,0
FB1000,8/14/2019,6:10,TGD,8/14/2019,9:00,HUK,1,0,0,0,1,0
FB1000,8/14/2019,11:45,HUK,8/14/2019,14:15,HOM,1,0,0,0,1,0
FB1000,8/15/2019,0:05,HOM,8/15/2019,2:05,SXA,1,0,0,0,1,0
FB1000,8/15/2019,3:35,SXA,8/15/2019,5:55,TGD,1,0,0,0,1,0
FB1000,8/15/2019,6:10,TGD,8/15/2019,9:00,HUK,1,0,0,0,1,0
FB1000,8/15/2019,11:45,HUK,8/15/2019,14:15,HOM,1,0,0,0,1,0
FB1000,8/16/2019,0:05,HOM,8/16/2019,2:05,SXA,1,0,0,0,1,0
FB1000,8/16/2019,3:35,SXA,8/16/2019,5:55,TGD,1,0,0,0,1,0
FB89,8/16/2019,6:10,TGD,8/16/2019,9:00,HUK,1,0,0,0,1,0
FB89,8/16/2019,11:45,HUK,8/16/2019,14:15,HOM,1,0,0,0,1,0
FB89,8/17/2019,0:05,HOM,8/17/2019,2:05,SXA,1,0,0,0,1,0
