FltNum,DptrDate,DptrTime,DptrStn,ArrvDate,ArrvTime,ArrvStn,Comp
FB8567,8/1/2019,0:35,XXJ,8/1/2019,2:25,SXA,C1F1
FB8567,8/2/2019,0:35,XXJ,8/2/2019,2:25,SXA,C1F1
FB8567,8/3/2019,0:35,XXJ,8/3/2019,2:25,SXA,C1F1
FB8567,8/6/2019,0:35,XXJ,8/6/2019,2:25,SXA,C1F1
FB8567,8/7/2019,0:35,XXJ,8/7/2019,2:25,SXA,C1F1
FB8567,8/8/2019,0:35,XXJ,8/8/2019,2:25,SXA,C1F1
FB8567,8/9/2019,0:35,XXJ,8/9/2019,2:25,SXA,C1F1
FB8567,8/10/2019,0:35,XXJ,8/10/2019,2:25,SXA,C1F1
FB8567,8/13/2019,0:35,XXJ,8/13/2019,2:25,SXA,C1F1
FB8567,8/14/2019,0:35,XXJ,8/14/2019,2:25,SXA,C1F1
FB8567,8/15/2019,0:35,XXJ,8/15/2019,2:25,SXA,C1F1
FB8567,8/16/2019,0:35,XXJ,8/16/2019,2:25,SXA,C1F1
FB8567,8/17/2019,0:35,XXJ,8/17/2019,2:25,SXA,C1F1
FB8567,8/20/2019,0:35,XXJ,8/20/2019,2:25,SXA,C1F1
FB8567,8/21/2019,0:35,XXJ,8/21/2019,2:25,SXA,C1F1
FB8567,8/22/2019,0:35,XXJ,8/22/2019,2:25,SXA,C1F1
FB8567,8/23/2019,0:35,XXJ,8/23/2019,2:25,SXA,C1F1
FB8567,8/24/2019,0:35,XXJ,8/24/2019,2:25,SXA,C1F1
FB8567,8/27/2019,0:35,XXJ,8/27/2019,2:25,SXA,C1F1
FB8567,8/28/2019,0:35,XXJ,8/28/2019,2:25,SXA,C1F1
FB8567,8/29/2019,0:35,XXJ,8/29/2019,2:25,SXA,C1F1
FB8558,8/1/2019,4:50,SXA,8/1/2019,7:00,TGD,C1F1
FB8560,8/1/2019,6:35,SXA,8/1/2019,8:30,HOM,C1F1
FB240,8/1/2019,7:00,FBX,8/1/2019,8:40,TGD,C1F1
FB1200,8/1/2019,7:05,SXA,8/1/2019,8:40,FBX,C1F1
FB292,8/1/2019,7:05,OOJ,8/1/2019,8:20,TGD,C1F1
FB312,8/1/2019,7:10,OSY,8/1/2019,8:15,TGD,C1F1
FB394,8/1/2019,7:10,UYS,8/1/2019,8:15,TGD,C1F1
FB652,8/1/2019,7:10,SXJ,8/1/2019,8:25,TGD,C1F1
FB382,8/1/2019,7:20,YKJ,8/1/2019,8:40,TGD,C1F1
FB582,8/1/2019,7:25,MYJ,8/1/2019,8:55,TGD,C1F1
FB432,8/1/2019,7:30,FBX,8/1/2019,8:45,GKS,C1F1
FB50,8/1/2019,7:30,NOU,8/1/2019,9:05,TGD,C1F1
FB402,8/1/2019,7:30,AXO,8/1/2019,8:35,TGD,C1F1
FB522,8/1/2019,7:35,XMJ,8/1/2019,8:40,HOM,C1F1
FB532,8/1/2019,7:35,OAX,8/1/2019,8:55,TGD,C1F1
FB562,8/1/2019,7:35,XNZ,8/1/2019,8:55,TGD,C1F1
FB632,8/1/2019,7:35,HWX,8/1/2019,9:10,TGD,C1F1
FB672,8/1/2019,7:35,THJ,8/1/2019,9:00,TGD,C1F1
FB792,8/1/2019,7:35,SHO,8/1/2019,9:10,TGD,C1F1
FB632,8/2/2019,7:35,HWX,8/2/2019,9:10,TGD,C1F1
FB632,8/3/2019,7:35,HWX,8/3/2019,9:10,TGD,C1F1
FB492,8/1/2019,7:40,GKS,8/1/2019,8:55,TGD,C1F1
FB692,8/1/2019,7:40,BCJ,8/1/2019,9:20,TGD,C1F1
FB492,8/2/2019,7:40,GKS,8/2/2019,8:55,TGD,C1F1
FB732,8/1/2019,7:50,UDJ,8/1/2019,9:10,HOM,C1F1
FB1702,8/1/2019,8:00,FBX,8/1/2019,9:05,HOM,C1F1
FB1271,8/1/2019,8:00,THJ,8/1/2019,10:00,NOU,C1F1
FB242,8/1/2019,8:00,FBX,8/1/2019,9:45,TGD,C1F1
FB460,8/1/2019,8:00,SXA,8/1/2019,10:25,TGD,C1F1
FB620,8/1/2019,8:00,XSJ,8/1/2019,9:45,TGD,C1F1
FB602,8/1/2019,8:05,XMH,8/1/2019,9:45,TGD,C1F1
FB602,8/2/2019,8:05,XMH,8/2/2019,9:45,TGD,C1F1
FB602,8/3/2019,8:05,XMH,8/3/2019,9:45,TGD,C1F1
FB602,8/4/2019,8:05,XMH,8/4/2019,9:45,TGD,C1F1
FB602,8/5/2019,8:05,XMH,8/5/2019,9:45,TGD,C1F1
FB602,8/6/2019,8:05,XMH,8/6/2019,9:45,TGD,C1F1
FB602,8/7/2019,8:05,XMH,8/7/2019,9:45,TGD,C1F1
FB662,8/1/2019,8:15,GKU,8/1/2019,10:05,TGD,C1F1
FB642,8/1/2019,8:25,XMJ,8/1/2019,10:05,TGD,C1F1
FB642,8/1/2019,8:30,NOU,8/1/2019,10:05,TGD,C1F1
FB52,8/1/2019,8:35,UYS,8/1/2019,9:40,TGD,C1F1
FB396,8/2/2019,8:35,UYS,8/2/2019,9:40,TGD,C1F1
FB396,8/1/2019,8:40,GKS,8/1/2019,10:55,SXA,C1F1
FB301,8/2/2019,8:40,GKS,8/2/2019,10:55,SXA,C1F1
FB301,8/1/2019,8:45,FBX,8/1/2019,10:30,SXA,C1F1
FB1203,8/1/2019,8:45,OOJ,8/1/2019,10:00,TGD,C1F1
FB294,8/1/2019,8:45,YKJ,8/1/2019,10:05,TGD,C1F1
FB384,8/2/2019,8:45,OOJ,8/2/2019,10:00,TGD,C1F1
FB294,8/2/2019,8:45,YKJ,8/2/2019,10:05,TGD,C1F1
FB384,8/3/2019,8:45,OOJ,8/3/2019,10:00,TGD,C1F1
FB294,8/4/2019,8:45,OOJ,8/4/2019,10:00,TGD,C1F1
FB294,8/5/2019,8:45,OOJ,8/5/2019,10:00,TGD,C1F1
FB294,8/6/2019,8:45,OOJ,8/6/2019,10:00,TGD,C1F1
FB294,8/7/2019,8:45,OOJ,8/7/2019,10:00,TGD,C1F1
FB294,8/8/2019,8:45,OOJ,8/8/2019,10:00,TGD,C1F1
FB294,8/9/2019,8:45,OOJ,8/9/2019,10:00,TGD,C1F1
FB294,8/10/2019,8:45,OOJ,8/10/2019,10:00,TGD,C1F1
FB294,8/11/2019,8:45,OOJ,8/11/2019,10:00,TGD,C1F1
FB294,8/12/2019,8:45,OOJ,8/12/2019,10:00,TGD,C1F1
FB294,8/13/2019,8:45,OOJ,8/13/2019,10:00,TGD,C1F1
FB294,8/14/2019,8:45,OOJ,8/14/2019,10:00,TGD,C1F1
FB294,8/15/2019,8:45,OOJ,8/15/2019,10:00,TGD,C1F1
FB294,8/16/2019,8:45,OOJ,8/16/2019,10:00,TGD,C1F1
FB294,8/17/2019,8:45,OOJ,8/17/2019,10:00,TGD,C1F1
FB294,8/18/2019,8:45,OOJ,8/18/2019,10:00,TGD,C1F1
FB294,8/19/2019,8:45,OOJ,8/19/2019,10:00,TGD,C1F1
